"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"367","no checking account",18,"critical account/other credits existing (not at this bank)","car (used)",3850,"... < 100 DM","4 < =  ... < 7 years",3,"male : single","none",1,"if not A121/A122 : car or other, not in attribute 6",27,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"368","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",3650,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",22,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"369","... < 0 DM",36,"existing credits paid back duly till now","furniture/equipment",3446,"... < 100 DM",".. > =  7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",42,"none","own",1,"skilled employee / official",2,"none","yes","BadLoan"
"370","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","furniture/equipment",3001,"... < 100 DM","4 < =  ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",40,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"371","no checking account",36,"existing credits paid back duly till now","car (new)",3079,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : single","none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"372","no checking account",18,"critical account/other credits existing (not at this bank)","radio/television",6070,"... < 100 DM",".. > =  7 years",3,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"373","no checking account",10,"critical account/other credits existing (not at this bank)","furniture/equipment",2146,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",2,"skilled employee / official",1,"none","yes","GoodLoan"
"374","no checking account",60,"critical account/other credits existing (not at this bank)","car (new)",13756,"unknown/ no savings account",".. > =  7 years",2,"male : single","none",4,"unknown / no property",63,"bank","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"375","0 < =  ... < 200 DM",60,"all credits at this bank paid back duly","others",14782,"100 < =  ... < 500 DM",".. > =  7 years",3,"female : divorced/separated/married","none",4,"unknown / no property",60,"bank","for free",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"376","... < 0 DM",48,"all credits at this bank paid back duly","business",7685,"... < 100 DM","4 < =  ... < 7 years",2,"female : divorced/separated/married","guarantor",4,"if not A121/A122 : car or other, not in attribute 6",37,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"377","no checking account",18,"delay in paying off in the past","radio/television",2320,"... < 100 DM","unemployed",2,"male : married/widowed","none",3,"real estate",34,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"378","no checking account",7,"delay in paying off in the past","radio/television",846,"unknown/ no savings account",".. > =  7 years",3,"male : single","none",4,"unknown / no property",36,"none","for free",1,"skilled employee / official",1,"none","yes","GoodLoan"
"379","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","car (new)",14318,"... < 100 DM",".. > =  7 years",4,"male : single","none",2,"unknown / no property",57,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"380","no checking account",6,"critical account/other credits existing (not at this bank)","car (new)",362,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",52,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"381","... < 0 DM",20,"existing credits paid back duly till now","furniture/equipment",2212,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",39,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"382","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","car (used)",12976,"... < 100 DM","unemployed",3,"female : divorced/separated/married","none",4,"unknown / no property",38,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"383","no checking account",22,"existing credits paid back duly till now","car (new)",1283,"unknown/ no savings account","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",25,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"384","... > =  200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","car (new)",1330,"... < 100 DM","... < 1 year",4,"male : single","none",1,"real estate",26,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"385","no checking account",30,"delay in paying off in the past","business",4272,"100 < =  ... < 500 DM","1 < =  ... < 4 years",2,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",26,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"386","no checking account",18,"critical account/other credits existing (not at this bank)","radio/television",2238,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"387","no checking account",18,"existing credits paid back duly till now","radio/television",1126,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",2,"real estate",21,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"388","0 < =  ... < 200 DM",18,"critical account/other credits existing (not at this bank)","furniture/equipment",7374,"... < 100 DM","unemployed",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",40,"stores","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"389","0 < =  ... < 200 DM",15,"critical account/other credits existing (not at this bank)","business",2326,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",2,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",27,"bank","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"390","no checking account",9,"existing credits paid back duly till now","business",1449,"... < 100 DM","4 < =  ... < 7 years",3,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",27,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"391","no checking account",18,"existing credits paid back duly till now","car (new)",1820,"... < 100 DM","1 < =  ... < 4 years",2,"male : married/widowed","none",2,"if not A121 : building society savings agreement/life insurance",30,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"392","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","furniture/equipment",983,".. > =  1000 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"real estate",19,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"393","... < 0 DM",36,"existing credits paid back duly till now","car (new)",3249,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",4,"unknown / no property",39,"bank","for free",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"394","... < 0 DM",6,"critical account/other credits existing (not at this bank)","radio/television",1957,"... < 100 DM","4 < =  ... < 7 years",1,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",31,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"395","no checking account",9,"critical account/other credits existing (not at this bank)","furniture/equipment",2406,"... < 100 DM","unemployed",2,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",31,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"396","0 < =  ... < 200 DM",39,"delay in paying off in the past","education",11760,"100 < =  ... < 500 DM","4 < =  ... < 7 years",2,"male : single","none",3,"unknown / no property",32,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"397","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",2578,"... < 100 DM","unemployed",3,"female : divorced/separated/married","none",4,"unknown / no property",55,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"398","... < 0 DM",36,"critical account/other credits existing (not at this bank)","furniture/equipment",2348,"... < 100 DM","1 < =  ... < 4 years",3,"male : married/widowed","none",2,"if not A121 : building society savings agreement/life insurance",46,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"399","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1223,"... < 100 DM",".. > =  7 years",1,"male : divorced/separated","none",1,"real estate",46,"none","rent",2,"skilled employee / official",1,"none","yes","BadLoan"
"400","no checking account",24,"critical account/other credits existing (not at this bank)","radio/television",1516,".. > =  1000 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",1,"real estate",43,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"401","no checking account",18,"existing credits paid back duly till now","radio/television",1473,"... < 100 DM","... < 1 year",3,"male : married/widowed","none",4,"real estate",39,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"402","0 < =  ... < 200 DM",18,"critical account/other credits existing (not at this bank)","business",1887,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : married/widowed","none",4,"real estate",28,"bank","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"403","no checking account",24,"delay in paying off in the past","business",8648,"... < 100 DM","... < 1 year",2,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",27,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
